2	1	2	1	.4	.2
1	1	1	3	.25	.25
5	2	1	1	1	.4
4	5	2	1	.4	.5
6	1	1	1	2	.3333333
4	1	1	1	1.333333	.3333333
1	0	1	3	.5	0
3	2	1	1	.6	.4
3	0	1	3	.6	0
2	2	1	1	.4	.4
2	1	1	1	.4	.2
3	0	1	3	1	0
4	2	1	1	.6666667	.3333333
2	2	1	1	.3333333	.3333333
2	0	1	1	.5	0
2	2	1	3	1	1
2	0	1	1	.3333333	0
1	1	2	1	.2	.2
2	0	1	3	.5	0
2	0	2	3	.5	0
2	0	2	1	.3333333	0
3	0	1	1	.4285714	0
4	0	2	1	1	0
1	0	1	3	.1428571	0
2	0	2	3	.4	0
2	0	2	3	.4	0
3	2	1	1	.75	.5
2	1	1	1	.4	.2
1	1	3	3	.5	.5
1	0	1	1	.25	0
2	0	1	2	.5	0
2	0	1	1	.6666667	0
2	0	1	3	.4	0
2	0	2	3	.3333333	0
3	3	1	1	.3	.3
2	0	1	1	.4	0
4	0	2	3	1	0
4	1	1	3	.6666667	.1666667
2	0	1	3	.5	0
2	0	2	1	.25	0
1	0	2	3	.25	0
0	0	1	3	0	0
1	0	1	3	.2	0
1	0	1	3	.2	0
1	0	1	3	.2	0
1	0	2	3	.1428571	0
1	0	2	3	.5	0
0	0	2	3	0	0
1	0	1	3	.1666667	0
2	0	3	3	.6666667	0
3	0	2	3	.5	0
2	0	2	3	.5	0
2	0	2	3	.2857143	0
3	0	2	3	1	0
3	2	1	1	.75	.5
2	0	1	3	.6666667	0
3	4	1	3	.75	1
3	2	1	3	1	.6666667
2	0	1	3	.2857143	0
1	0	1	3	.5	0
2	1	1	3	.5	.25
1	0	2	3	.25	0
3	0	1	3	.75	0
3	0	1	3	1.5	0
2	0	1	3	.4	0
3	1	1	1	.6	.2
2	0	1	1	.6666667	0
2	3	1	3	.5	.75
3	2	1	3	.75	.5
2	0	2	3	.5	0
2	0	1	3	.3333333	0
1	0	1	3	.5	0
1	0	1	3	.3333333	0
1	0	1	3	.1666667	0
2	0	2	3	2	0
2	0	2	3	.4	0
2	0	1	3	.6666667	0
1	0	1	3	.1666667	0
5	3	1	1	1	.6
3	1	1	1	.6	.2
2	0	1	1	.3333333	0
2	1	1	3	.3333333	.1666667
2	0	1	1	.3333333	0
3	2	2	3	.75	.5
1	0	1	1	.3333333	0
1	0	2	3	1	0
3	0	1	1	.6	0
4	1	1	1	1	.25
5	2	1	1	.625	.25
5	3	1	3	1	.6
2	2	1	1	.6666667	.6666667
2	1	1	1	.6666667	.3333333
3	1	1	1	.4285714	.1428571
1	0	1	1	.1666667	0
2	0	3	3	.3333333	0
3	2	3	3	1	.6666667
1	1	1	3	.3333333	.3333333
2	0	1	3	.5	0
4	0	3	3	1.333333	0
1	0	3	3	.3333333	0
1	0	2	3	.2	0
1	0	3	3	.2	0
2	0	2	3	.4	0
2	0	3	3	.6666667	0
2	0	3	3	2	0
2	0	3	3	2	0
1	0	3	3	1	0
3	2	1	3	1.5	1
5	1	1	1	.8333333	.1666667
2	0	1	1	.4	0
4	1	1	1	1	.25
3	3	1	3	.5	.5
2	1	1	1	.25	.125
1	0	2	1	.25	0
1	1	1	3	.2	.2
1	1	1	3	.2	.2
5	2	1	1	.8333333	.3333333
4	3	1	1	.8	.6
2	0	1	1	.4	0
1	1	1	3	.2	.2
2	2	1	1	.5	.5
1	0	1	3	.125	0
3	2	1	3	1	.6666667
2	0	2	3	.5	0
1	0	1	1	.2	0
2	0	1	3	2	0
2	0	1	1	.2	0
1	1	1	1	.2	.2
4	2	2	3	.5714286	.2857143
2	0	1	3	.3333333	0
2	0	1	3	1	0
2	0	1	3	.2857143	0
4	1	1	1	.6666667	.1666667
3	2	1	3	.6	.4
1	0	1	3	.1666667	0
3	4	3	3	.4285714	.5714286
1	0	1	3	.2	0
5	1	1	1	1.25	.25
3	1	1	1	.375	.125
4	1	1	3	1.333333	.3333333
2	0	1	1	.4	0
2	0	2	3	.4	0
3	2	2	3	.6	.4
3	2	2	3	1.5	1
8	0	1	1	.8888889	0
1	0	1	3	.2	0
1	0	1	3	.25	0
4	2	1	3	1	.5
3	0	3	3	.6	0
4	1	1	1	1.333333	.3333333
4	0	1	3	.4444444	0
4	2	3	3	.8	.4
2	0	2	3	.3333333	0
6	1	1	1	1.5	.25
6	2	1	1	1.5	.5
7	1	1	1	1.4	.2
1	0	2	3	.25	0
2	1	1	3	.4	.2
1	0	3	3	.2	0
11	50	2	3	3.666667	16.66667
2	0	1	1	.5	0
1	0	2	3	.5	0
1	0	1	3	1	0
1	0	3	3	.2	0
0	0	1	1	0	0
0	0	1	1	0	0
1	0	2	3	.2	0
2	3	1	3	.6666667	1
2	2	1	3	1	1
2	2	1	1	.3333333	.3333333
3	2	1	3	.75	.5
3	2	1	3	.75	.5
2	1	1	1	.4	.2
3	2	1	3	1	.6666667
5	3	1	1	1	.6
